============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-9.0.2, pluggy-1.6.0 -- /home/spa/tobit-spa-ai/apps/api/.venv/bin/python3.12
cachedir: .pytest_cache
rootdir: /home/spa/tobit-spa-ai/apps/api
configfile: pytest.ini
testpaths: tests
plugins: anyio-4.12.1, langsmith-0.6.3, asyncio-1.3.0
asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 392 items

tests/test_api_keys.py::TestApiKeyGeneration::test_generate_api_key PASSED [  0%]
tests/test_api_keys.py::TestApiKeyGeneration::test_generate_unique_keys PASSED [  0%]
tests/test_api_keys.py::TestApiKeyCrud::test_create_api_key PASSED       [  0%]
tests/test_api_keys.py::TestApiKeyCrud::test_create_api_key_with_expiration PASSED [  1%]
tests/test_api_keys.py::TestApiKeyCrud::test_validate_api_key_valid PASSED [  1%]
tests/test_api_keys.py::TestApiKeyCrud::test_validate_api_key_invalid PASSED [  1%]
tests/test_api_keys.py::TestApiKeyCrud::test_validate_api_key_expired FAILED [  1%]
tests/test_api_keys.py::TestApiKeyCrud::test_validate_api_key_inactive PASSED [  2%]
tests/test_api_keys.py::TestApiKeyCrud::test_get_api_key PASSED          [  2%]
tests/test_api_keys.py::TestApiKeyCrud::test_get_api_key_wrong_user PASSED [  2%]
tests/test_api_keys.py::TestApiKeyCrud::test_list_api_keys PASSED        [  2%]
tests/test_api_keys.py::TestApiKeyCrud::test_list_api_keys_exclude_inactive PASSED [  3%]
tests/test_api_keys.py::TestApiKeyCrud::test_list_api_keys_include_inactive PASSED [  3%]
tests/test_api_keys.py::TestApiKeyCrud::test_revoke_api_key PASSED       [  3%]
tests/test_api_keys.py::TestApiKeyCrud::test_revoke_nonexistent_key PASSED [  3%]
tests/test_api_keys.py::TestApiKeyScopes::test_get_api_key_scopes PASSED [  4%]
tests/test_api_keys.py::TestApiKeyScopes::test_has_scope_true PASSED     [  4%]
tests/test_api_keys.py::TestApiKeyScopes::test_has_scope_false PASSED    [  4%]
tests/test_api_keys.py::TestApiKeysRouter::test_create_api_key_endpoint PASSED [  4%]
tests/test_api_keys.py::TestApiKeysRouter::test_list_api_keys_endpoint PASSED [  5%]
tests/test_api_keys.py::TestApiKeysRouter::test_revoke_api_key_endpoint PASSED [  5%]
tests/test_asset_models.py::TestSourceAsset::test_source_type_enum PASSED [  5%]
tests/test_asset_models.py::TestSourceAsset::test_source_connection_creation PASSED [  5%]
tests/test_asset_models.py::TestSourceAsset::test_source_connection_defaults PASSED [  6%]
tests/test_asset_models.py::TestSourceAsset::test_source_asset_creation PASSED [  6%]
tests/test_asset_models.py::TestSourceAsset::test_source_asset_spec_json_pattern PASSED [  6%]
tests/test_asset_models.py::TestSchemaAsset::test_schema_column_creation PASSED [  6%]
tests/test_asset_models.py::TestSchemaAsset::test_schema_table_creation PASSED [  7%]
tests/test_asset_models.py::TestSchemaAsset::test_schema_catalog_creation PASSED [  7%]
tests/test_asset_models.py::TestSchemaAsset::test_schema_catalog_computed_properties PASSED [  7%]
tests/test_asset_models.py::TestSchemaAsset::test_schema_catalog_get_table PASSED [  7%]
tests/test_asset_models.py::TestSchemaAsset::test_schema_asset_creation PASSED [  8%]
tests/test_asset_models.py::TestSchemaAsset::test_schema_asset_spec_json_pattern PASSED [  8%]
tests/test_asset_models.py::TestResolverAsset::test_resolver_type_enum PASSED [  8%]
tests/test_asset_models.py::TestResolverAsset::test_alias_mapping_creation PASSED [  8%]
tests/test_asset_models.py::TestResolverAsset::test_pattern_rule_creation PASSED [  9%]
tests/test_asset_models.py::TestResolverAsset::test_transformation_rule_creation PASSED [  9%]
